 Corr.Time[ms]           Correlation(1->2+2->1)  Weighting(1->2+2->1)    Correlation(1->2)       Weighting(1->2)         Correlation(2->1)       Weighting(2->1)
 6.88119964599609E+0001  2.05489877641140E-0002  1.84644707202519E+0002  2.05489877641140E-0002  1.84644707202519E+0002  2.05489877641140E-0002  1.84644707202519E+0002
 7.53656005859375E+0001  1.78837494182234E-0002  1.61558246880644E+0002  1.78837494182234E-0002  1.61558246880644E+0002  1.78837494182234E-0002  1.61558246880644E+0002
 8.19191970825195E+0001  1.59946874108188E-0002  1.64887374064321E+0002  1.59946874108188E-0002  1.64887374064321E+0002  1.59946874108188E-0002  1.64887374064321E+0002
 8.84728012084961E+0001  1.37332930788212E-0002  1.82508905598560E+0002  1.37332930788212E-0002  1.82508905598560E+0002  1.37332930788212E-0002  1.82508905598560E+0002
 9.50263977050781E+0001  1.09278560408570E-0002  1.70943728107067E+0002  1.09278560408570E-0002  1.70943728107067E+0002  1.09278560408570E-0002  1.70943728107067E+0002
 1.01580001831054E+0002  7.47171450068146E-0003  1.50713167806577E+0002  7.47171450068146E-0003  1.50713167806577E+0002  7.47171450068146E-0003  1.50713167806577E+0002
 1.11410400390625E+0002  1.04410971142255E-0002  2.07425912528550E+0002  1.04410971142255E-0002  2.07425912528550E+0002  1.04410971142255E-0002  2.07425912528550E+0002
 1.24517601013183E+0002  5.48134851148599E-0003  2.75075952910538E+0002  5.48134851148599E-0003  2.75075952910538E+0002  5.48134851148599E-0003  2.75075952910538E+0002
 1.37624801635742E+0002  8.61837626160092E-0003  2.23366042655683E+0002  8.61837626160092E-0003  2.23366042655683E+0002  8.61837626160092E-0003  2.23366042655683E+0002
 1.50731994628906E+0002  4.85143244757910E-0003  2.55229689132801E+0002  4.85143244757910E-0003  2.55229689132801E+0002  4.85143244757910E-0003  2.55229689132801E+0002
 1.63839202880859E+0002  6.97102979937625E-0003  3.01425275351090E+0002  6.97102979937625E-0003  3.01425275351090E+0002  6.97102979937625E-0003  3.01425275351090E+0002
